,Time,Topic,Tweet,TrueSentiment,PredictedSentiment,NumericalPredictedSentiment,roundedHourTime
0,10/20/2011 4:17,twitter,Ohemgee. Be a follower..... #twitter,neutral,neutral,0,10/20/2011 4:00
1,10/20/2011 3:21,twitter,#twitter off,neutral,neutral,0,10/20/2011 3:00
2,10/16/2011 19:11,apple,ninguem desliga o 3g do celular -.- “@giuchavez: Olha aqui @apple: na proxima atualizaçao eu quero um atalho pra ligar/desligar a 3g Ok ...,neutral,neutral,0,10/16/2011 19:00
3,10/19/2011 22:22,microsoft,"""Il colpo di genio è stato iTunes non l'iPod in sé"". Quello che #Google e #Samsung non possono capire, tanto meno #Microsoft #sapevatelo",neutral,neutral,0,10/19/2011 22:00
4,10/19/2011 18:00,microsoft,"Is #Nokia chief executive a #Microsoft mole? http://t.co/jkOTcrMb
Stephen Elop accused of destroying Nokia so Microsoft can buy it cheap.",negative,neutral,0,10/19/2011 18:00
5,10/19/2011 3:55,google,"ابرز مميزات Android 4.0 
موجوده بهذا الفديو 
http://t.co/ZE4BZfph
#google #android @Abdullah347",neutral,neutral,0,10/19/2011 3:00
6,10/20/2011 3:38,twitter,"I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free, give it a try. http://t.co/UGPTuUcZ",neutral,neutral,0,10/20/2011 3:00
7,10/19/2011 15:24,microsoft,RT @SociosMicrosoft: #Microsoft anuncia nuevos títulos de “juegos educativos” http://t.co/etbab2UJ,neutral,neutral,0,10/19/2011 15:00
8,10/17/2011 18:15,apple,"querida @apple, até quando o steve vai ficar na sua pagina inicial?",neutral,neutral,0,10/17/2011 18:00
9,10/19/2011 4:50,google,The competition: #Google introduces #Android 4.0 Ice Cream Sandwich and the Galaxy Nexus http://t.co/4vGGHF43,neutral,neutral,0,10/19/2011 4:00
10,10/19/2011 20:11,microsoft,non conductive #surface become #multitouch. #touch #gestures: #microsoft #windows 7 @ #nui #apps http://t.co/Ygpnusfv,neutral,neutral,0,10/19/2011 20:00
11,10/20/2011 4:35,twitter,According to #twitter I have the same amount of followers as followees....#notgoingtolast,neutral,neutral,0,10/20/2011 4:00
12,10/19/2011 19:59,microsoft,"#Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/NkhuoM7U #SQLServer #SQL2012 #SQLAzure",neutral,neutral,0,10/19/2011 19:00
13,10/16/2011 21:30,apple,"RT @Porter_Anderson: ""3 principal global players will be active in every market...@Amazon, @Apple, & @Kobo."" #fbf11 #publaunch @MikeShat ...",neutral,neutral,0,10/16/2011 21:00
14,10/15/2011 13:39,apple,Installed io5 - fine on ipad but wiped wife's iPhone and restore from backup failed! #Bigtrouble #help @apple,negative,negative,-1,10/15/2011 13:00
15,10/19/2011 5:23,google,AsiaClassifiedToday: Parkson to list retail arm in S$200 mln Singapore IPO-source - Reuters: Parks... http://t.co/AadDaQA7 #asia #google,neutral,neutral,0,10/19/2011 5:00
16,10/20/2011 3:36,twitter,Es k algo le pasa a mi #twitter nada en lo que me taggean aparece ... Que sucede?,neutral,neutral,0,10/20/2011 3:00
17,10/19/2011 12:26,microsoft,Really hate the #Microsoft #mcp site,negative,negative,-1,10/19/2011 12:00
18,10/19/2011 12:56,microsoft,RT @HealthVault: Learn how to create and use your emergency profile on #Microsoft #HealthVault - #PHR #healthit - Step by step #Docs htt ...,neutral,neutral,0,10/19/2011 12:00
19,10/20/2011 4:44,twitter,Ahh actualicé #Twitter en el telefono!! Ahora si me van a llegar las menciones #pffffff,neutral,neutral,0,10/20/2011 4:00
20,10/17/2011 13:13,apple,RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,neutral,neutral,0,10/17/2011 13:00
21,10/19/2011 21:40,microsoft,#Wordperfect #Windows_95 #Microsoft Bill Gates llamado a declarar por un antiguo caso de monopolio contra Microsoft http://t.co/dyOyrkYD,neutral,neutral,0,10/19/2011 21:00
22,10/19/2011 7:48,microsoft,RT @druncks: In de smartphonewereld lopen 57 patentrechtszaken. De grote winnaar lijkt #Microsoft. http://t.co/m7oqSFhA #patent #depers,neutral,neutral,0,10/19/2011 7:00
23,10/20/2011 3:50,twitter,"Off to sleeep , #goodnight #twitter",neutral,neutral,0,10/20/2011 3:00
24,10/20/2011 3:21,twitter,Woooow I just log out from #twitter and there's more than 60 #tweets on my #timeline,neutral,neutral,0,10/20/2011 3:00
25,10/19/2011 22:34,microsoft,"#Microsoft, war lang still um dich: Unified Extensible Firmware Interface #UEFI http://t.co/AdGfbm1V",neutral,neutral,0,10/19/2011 22:00
26,10/16/2011 8:32,apple,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21",neutral,neutral,0,10/16/2011 8:00
27,10/17/2011 18:46,apple,"@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless",negative,neutral,0,10/17/2011 18:00
28,10/16/2011 21:01,apple,I just told my @apple 4S she was a stupid bitch and her reply was if you insist #lol,neutral,neutral,0,10/16/2011 21:00
29,10/17/2011 18:48,apple,"@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit",neutral,neutral,0,10/17/2011 18:00
30,10/20/2011 3:10,twitter,@asshsmith never #twitter is where i #speakmymind #hahahahahaha,neutral,neutral,0,10/20/2011 3:00
31,10/16/2011 7:39,apple,"Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple, I'm going back to your Genius Bar to complain. #annoyed",negative,negative,-1,10/16/2011 7:00
32,10/17/2011 13:41,apple,@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL,negative,neutral,0,10/17/2011 13:00
33,10/20/2011 4:14,twitter,#Twitter got me all messed up everytime i compose a text msg i get stressed I only have 140 caracteres! all dis networkin is gettin confusin,negative,neutral,0,10/20/2011 4:00
34,10/18/2011 18:44,apple,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps",neutral,neutral,0,10/18/2011 18:00
35,10/19/2011 3:13,google,Calling All #IceCreamSandwich Lovers | #Google & #Samsung Like in Hong Kong - A new look at what's new from Android http://t.co/rUkTyUJC,neutral,neutral,0,10/19/2011 3:00
36,10/19/2011 5:34,google,"#Android #Google Ice Cream Sandwich Is Finally Official, And Here's What To Expect http://t.co/Wxhb8JXO #DhilipSiva",neutral,neutral,0,10/19/2011 5:00
37,10/19/2011 4:27,google,"Уже 14 версия плагина #Android для #Eclipse вышла, а подгружать апдейты для sdk в фоне они так и не научились. #Google вперде!!!",neutral,neutral,0,10/19/2011 4:00
38,10/17/2011 22:03,apple,In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S,neutral,neutral,0,10/17/2011 22:00
39,10/19/2011 21:00,microsoft,"#SteveBallmer, CEO de #Microsoft, dice que se necesita ser un cientifico para manejar #Android  http://t.co/W03j7hTA",neutral,neutral,0,10/19/2011 21:00
40,10/19/2011 3:25,google,TIPP: Kostenlose Google +1 und FB-Likes - Free Google +1 and FB-Likes - http://t.co/eNfReVk3 #GooglePlus #Google+1 #Facebook #Likes,neutral,neutral,0,10/19/2011 3:00
41,10/19/2011 14:15,microsoft,RT @lyonpat25: @iguanahosting ganamos Socios Hoster del año en Enlance 2012! Ganando Juntos! #Microsoft Felicitaciones :),neutral,neutral,0,10/19/2011 14:00
42,10/18/2011 11:36,apple,"RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/kmJ0o1Ja",neutral,neutral,0,10/18/2011 11:00
43,10/20/2011 3:43,twitter,Mee ustan sus besiitos x #twitter aw* es una princesiita!,neutral,neutral,0,10/20/2011 3:00
44,10/18/2011 14:16,apple,"@BeeeThree I am aye, I wasn't @apple",neutral,neutral,0,10/18/2011 14:00
45,10/19/2011 2:39,google,Thank god Gmail app has been redesigned under Android 4.0. Conversations automatically expanded. #Google #Android #ICS,positive,neutral,0,10/19/2011 2:00
46,10/19/2011 19:41,microsoft,#Microsoft store here I come to spend my hard earned cash. #vslive,positive,neutral,0,10/19/2011 19:00
47,10/19/2011 4:22,google,"#Samsung y #Google presentan el Samsung Galaxy #Nexus, oficialmente. http://t.co/DwQyyu5v #gadgets #smartphones",neutral,neutral,0,10/19/2011 4:00
